stop_id,stop_name,stop_lat,stop_lon
yenikapi,Yenikapı,41.0058,28.9500
aksaray,Aksaray,41.0110,28.9540
emniyet_fatih,Emniyet-Fatih,,
topkapi,Topkapı-Ulubatlı,,
bayrampasa,Bayrampaşa-Maltepe,,
sagmalcilar,Sağmalcılar,,
kocatepe,Kocatepe,,
otogar,Otogar,,
terazidere,Terazidere,,
davutpasa,Davutpaşa-YTÜ,,
merter,Merter,,
zeytinburnu,Zeytinburnu,41.0050,28.9020
bakirkoy_incirli,Bakırköy-İncirli,,
bahcelievler,Bahçelievler,,
atakoy_sirinevler,Ataköy-Şirinevler,,
yenibosna,Yenibosna,,
dtm,DTM-İstanbul Fuar Merkezi,,
ataturk_hava,Atatürk Havalimanı,40.9760,28.8210
esenler,Esenler,,
menderes,Menderes,,
ucyuzlu,Üçyüzlü,,
bagcilar_meydan,Bağcılar-Meydan,,
kirazli,Kirazlı,41.0290,28.8390
vezneciler,Vezneciler-İstanbul Ü.,,
halic,Haliç,,
sishane,Şişhane,,
taksim,Taksim,41.0369,28.9850
osmanbey,Osmanbey,,
mecidiyekoy,Mecidiyeköy,41.0660,28.9950
gayrettepe,Gayrettepe,41.0680,29.0070
levent,Levent,41.0820,29.0090
dort_levent,4.Levent,,
sanayi,Sanayi Mahallesi,,
seyrantepe,Seyrantepe,,
itu_ayazaga,İTÜ-Ayazağa,,
oto_sanayi,Atatürk Oto Sanayi,,
darussafaka,Darüşşafaka,,
haciosman,Hacıosman,41.1080,29.0350
bakirkoy_sahil,Bakırköy Sahil,,
ozgurluk_meydani,Özgürlük Meydanı,,
incirli,İncirli,,
haznedar,Haznedar,,
ilkyuva,İlkyuva,,
yildiztepe,Yıldıztepe,,
molla_gurani,Molla Gürani,,
yenimahalle_m3,Yenimahalle (M3),,
mahmutbey,Mahmutbey,41.0660,28.8200
istoc,İSTOÇ,,
ikitelli_sanayi,İkitelli Sanayi,,
turgut_ozal,Turgut Özal,,
siteler,Siteler,,
basak_konutlari,Başak Konutları,,
basaksehir,Başakşehir-Metrokent,,
onurkent,Onurkent,,
sehir_hastanesi,Şehir Hastanesi,,
toplu_konutlar,Toplu Konutlar,,
kayasehir,Kayaşehir Merkez,,
kadikoy,Kadıköy,40.9920,29.0270
ayrilik,Ayrılık Çeşmesi,40.9990,29.0280
acibadem,Acıbadem,,
unalan,Ünalan,,
goztepe,Göztepe,,
yenisahra,Yenisahra,,
kozyatagi,Kozyatağı,,
bostanci,Bostancı,40.9540,29.0950
kucukyali,Küçükyalı,,
maltepe,Maltepe,,
huzurevi,Huzurevi,,
gulsuyu,Gülsuyu,,
esenkent,Esenkent,,
hastane_adliye,Hastane-Adliye,,
soganlik,Soğanlık,,
kartal,Kartal,,
yakacik,Yakacık-Adnan Kahveci,,
pendik,Pendik,40.8770,29.2330
tavsantepe,Tavşantepe,,
fevzi_cakmak,Fevzi Çakmak-Hastane,,
yayalar,Yayalar-Şeyhli,,
kurtkoy,Kurtköy,,
sabiha_gokcen,Sabiha Gökçen Havalimanı,40.9050,29.3090
uskudar,Üsküdar,41.0255,29.0150
fistikagaci,Fıstıkağacı,,
baglarbasi,Bağlarbaşı,,
altunizade,Altunizade,,
kisikli,Kısıklı,,
bulgurlu,Bulgurlu,,
umraniye,Ümraniye,,
carsi,Çarşı,,
yamanevler,Yamanevler,,
cakmak,Çakmak,,
ihlamurkuyu,Ihlamurkuyu,,
altinsehir,Altınşehir,,
imam_hatip,İmam Hatip Lisesi,,
dudullu,Dudullu,,
necip_fazil,Necip Fazıl,,
cekmekoy,Çekmeköy,,
meclis,Meclis,,
sarigazi,Sarıgazi,,
sancaktepe_sh,Sancaktepe Şehir Hastanesi,,
sancaktepe,Sancaktepe,,
samandira,Samandıra Merkez,,
nispetiye,Nispetiye,,
etiler,Etiler,,
bogazici,Boğaziçi Ü./Hisarüstü,,
yildiz,Yıldız,,
fulya,Fulya,,
caglayan,Çağlayan,,
kagithane,Kağıthane,,
nurtepe,Nurtepe,,
alibeykoy,Alibeyköy,,
circir,Çırçır Mahallesi,,
veysel_karani_m7,Veysel Karani-Akşemsettin,,
yesilpinar,Yeşilpınar,,
kazim_karabekir,Kazım Karabekir,,
yenimahalle_m7,Yenimahalle (M7),,
karadeniz_mah,Karadeniz Mahallesi,,
tekstilkent,Tekstilkent-Giyimkent,,
oruc_reis,Oruç Reis,,
goztepe_mah_m7,Göztepe Mahallesi,,
emin_ali_pasa,Emin Ali Paşa,,
aysekadin,Ayşekadın,,
kucukbakkalkoy,Küçükbakkalköy,,
icerenkoy,İçerenköy,,
kayisdagi,Kayışdağı,,
mevlana,Mevlana,,
imes,İmes,,
modoko,Modoko-Keyap,,
huzur,Huzur,,
parseller,Parseller,,
atakoy,Ataköy,40.9820,28.8540
cobancesme,Çobançeşme,,
ekim29,29 Ekim Cumhuriyet,,
dogu_sanayi,Doğu Sanayi,,
mimar_sinan,Mimar Sinan,,
temmuz15,15 Temmuz,,
halkali_caddesi,Halkalı Caddesi,,
ataturk_mah,Atatürk Mahallesi,,
bahariye,Bahariye,,
masko,MASKO,,
ziya_gokalp,Ziya Gökalp Mahallesi,,
olimpiyat,Olimpiyat,,
hasdal,Hasdal,,
kemerburgaz,Kemerburgaz,,
gokturk,Göktürk,,
ihsaniye,İhsaniye,,
istanbul_hava,İstanbul Havalimanı,41.2750,28.7520
kargo,Kargo Terminali,,
tasoluk,Taşoluk,,
arnavutkoy,Arnavutköy,,
halkali,Halkalı,,
sirkeci,Sirkeci,41.0150,28.9770
sogutlucesme,Söğütlüçeşme,40.9890,29.0360
gebze,Gebze,40.7920,29.3920
beylikduzu,Beylikdüzü,,
avcilar,Avcılar,,
cevizlibag,Cevizlibağ,,
zincirlikuyu,Zincirlikuyu,,
kabatas,Kabataş,41.0330,28.9890
karakoy,Karaköy,,
eminonu,Eminönü,,
sultanahmet,Sultanahmet,,
beyazit,Beyazıt,,
bagcilar,Bağcılar,,
